customer_message,clean_customer_message
Em muốn mua ghế mastela 1015 chấm bi,em muốn mua ghế mastela 1015 chấm bi
Có ship hồ chí minh k ạ,có ship hồ chí minh không ạ
B ơi bên m có phao này k ,bạn ơi bên mình có phao này không
"/disagree{""object_type"": null}",/dígrê object_type null
Phao này bạn ,phao này bạn
/start_conversation,/stả_convẻation
Sh còn xe này k sh ,shop còn xe này không shop
Bn b,bao nhiêu bạn
Bên mình cod loại nào v sj,bên mình cod loại nào vậy sj
Xe đẩy cho bé ạ,xe đẩy cho bé ạ
/start_conversation,/stả_convẻation
Bạn ui bộ nhà tắm con voi này giá bn ạ,bạn ui bộ nhà tắm con voi này giá bao nhiêu ạ
Shop ơi bạn ship tối nay đc k ạ ?,shop ơi bạn ship tối nay được không ạ
Mình nhận ở văn quán hà đông,mình nhận ở van quán hà đông
/start_conversation,/stả_convẻation
Shop mình có thuốc prenatal k ạ,shop mình có thuốc prenatal không ạ
Cảm ơn shop mình liên hệ sau,cảm ơn shop mình liên hệ sau
Có bình sữa hegen 240ml k vay,có bình sữa hegen 240ml không vậy
"B ơi
B có xe đẩy gấp gọn V1 không",bạn ơi bạn có xe đẩy gấp gọn v1 không
Giá như thế nào b,giá như thế nào bạn
???,
B k báo già ad,bạn không báo già ad
Bên shop có bán quây nhựa loại này trên tiki hay shopee không vậy,bên shop có bán quây nhựa loại này trên tiki hay shopee không vậy
Tại mình có sài thẻ tín dụng được giảm giá á,tại mình có sài thẻ tín dụng được giảm giá á
Shop có ngựa bập bênh k,shop có ngựa bập bênh không
Cả set này thì bn ah ,cả set này thì bao nhiêu ạ
Set đấy có bao gồm ngựa ko nhỉ,sét đấy có bao gồm ngựa không nhỉ
Bên bạn có bàn chơi lego ghế tai thỏ ko,bên bạn có bàn chải lego ghế tai thỏ không
/start_conversation,/stả_convẻation
Bạn ơi bộ quây cũi có cầu trượt giá sao ban?,bạn ơi bộ quây cũi có cầu trượt giá sao bạn
Còn bộ quây cũi k có câu trượt cho mình xem anh với,còn bộ quây cũi không có cầu trượt cho mình xem ảnh với
Bộ đồ bàn ghế chơi lego hoa anh đào đó bạn,bộ đồ bàn ghế chơi lego hoa anh đào đó bạn
"/confirm_object_type{""object_type"": ""bo_ban_ghe""}",/confỉ_object_type object_type bo_ban_ghe
Chào shop. Bên b còn ghế ăn dặm umoo ko,chào shop bên bạn còn ghế ăn dặm umoo không
Trên shopee mẫu này có phải của shop ko ,trên shopee mẫu này có phải của shop không
Cho em xem ảnh thật với ạ,cho em xem ảnh thật với ạ
Dạ thỏ ú oà ah,dạ thỏ ú oà ạ
Thế ship về Thanh Hóa  tầm nhiều tiền không shop,thế ship về thanh hóa tầm nhiều tiền không shop
Sp này hết hàng rồi hả bn ,sản phẩm này hết hàng rồi hả bao nhiêu
"/query_knowledge_base{""url"": ""https://shopee.vn/product/36371562/5316521835"", ""product_id"": ""https://shopee.vn/product/36371562/5316521835""}",/quẻ_knơedge_bá ủ https //shopê vn/product/36371562/5316521835 product_id https //shopê vn/product/36371562/5316521835
/greet,/grê
tks b nhé,thanks bạn nhé
Hôm trước mình qua lấy rồi,hôm trước mình qua lấy rồi
Chờ mấy ngày mới thấy trả lời 😅,cho mấy ngày mới thấy trả lời
Cho e hỏi vs ạ ,cho em hỏi với ạ
Giá 3 bộ này như nào vậy chị,giá 3 bộ này như nào vậy chị
/restart,/réả
thanh chắn giường m6 bn ạ,thanh chắn giường m6 bao nhiêu ạ
shop có ghế ăn k?,shop có ghế ăn không
Vâng,vâng
"Cho mình đặt một cái
289 Nguyễn Thái Bình phường 12 Tân Bình",cho mình đặt một cái 289 nguyễn thái bình thường 12 tân bình
Này nè bạn ,này nè bạn
"/disagree{""object_type"": null}",/dígrê object_type null
Địu này thì sao ạ ,địu này thì sao ạ
"Hnay có ship đc ko ạ
Mình ở mễ trì b ạ",hôm nay có ship được không ạ mình ở mễ trì bạn ạ
"Mh ở hd thì lắp đặt tnao b nhi
Mh ở hd thì lắp đặt tnao b nhi",mình ở hướng dẫn thì lắp đặt thế nào bạn nhỉ mình ở hướng dẫn thì lắp đặt thế nào bạn nhỉ
Sh ơi. Còn k ạ. Lúc trước e hỏi bé chưa lớn 😁,shop ơi còn không ạ lúc trước em hỏi bé chưa lớn
/start_conversation,/stả_convẻation
Bộ này có về lại ko ạ ,bộ này có về lại không ạ
/start_conversation,/stả_convẻation
Kệ này giá bn vay shop ,kệ này giá bao nhiêu vậy shop
Balô nay có bánh xe k em ,balo này có bán xe không em
hàng này của mình là nhập khẩu từ đâu shop?,hàng này của mình là nhập khẩu từ đầu shop
cầu trượt bập bênh Holla nhé,cầu trượt bập bênh holla nhé
??,
Ghế này bn b oi ,ghế này bao nhiêu bạn ơi
"/query_knowledge_base{""url"": ""https://shopee.vn/product/36371562/2711535629"", ""product_id"": ""https://shopee.vn/product/36371562/2711535629""}",/quẻ_knơedge_bá ủ https //shopê vn/product/36371562/2711535629 product_id https //shopê vn/product/36371562/2711535629
"/query_knowledge_base{""url"": ""https://shopee.vn/product/36371562/2711535629"", ""product_id"": ""https://shopee.vn/product/36371562/2711535629""}",/quẻ_knơedge_bá ủ https //shopê vn/product/36371562/2711535629 product_id https //shopê vn/product/36371562/2711535629
"Alo alo
Đây b ơi
Sao lại ko ib d nhỉ",alo alo đây bạn ơi sao lại không inbox d nhỉ
M hỏi bộ này bn ,mình hỏi bộ này bao nhiêu
Gồm cả bảng số và chữ ah,gồm cả bóng số và chữ ạ
M xin giá ,mình xin giá
"M thấy bảo có hơi nước bốc lên
Có nóng k b",mình thấy bảo có hỏi nước bốc lên có nóng không bạn
E ơi,em ơi
Giá bnhieu e ơi ,giá bao nhiêu em ơi
Có clip nhạc phát như nào k,có clip nhạc phát như nào không
Mình muốn tìm mua xe cho bé 2 tuổi. Bạn rv giúp mình nhé,mình muốn tìm mua xe cho bé 2 tuổi bạn rv giúp mình nhé
Mình muốn tìm xe 3 bánh cho bé í,mình muốn tìm xe 3 bánh cho bé í
Cầu trượt bên mjk bn ạ,cầu trượt bên mjk bao nhiêu ạ
Xích đu ạ,xích đu ạ
Hi b B còn em này ko nhì ,hi bạn bạn còn em này không nhìn
Gấu bông này này b ,gấu bông này này bạn
Alooo,alooo
/start_conversation,/stả_convẻation
https://www.facebook.com/1454523434857990/posts/2478174839159506/,https //www facebook com/1454523434857990/posts/2478174839159506/
Inbox mình giá bộ này,inbox mình giá bộ này
"https://www.facebook.com/shopgauvabingo/media_set/?set=a.2016849515292043
Em thấy album rùi
Aprica ạ
Combi cũng có nha",https //www facebook com/shopgauvabingo/media_set/ set=a 2016849515292043 Em thấy album rùi Aprica ạ Combi cũng có nha
Ok em,ok em
"Em giao đi rồi báo anh
Hàng chuẩn thảm silicon
Đúng ko em",em giao đi rồi báo anh hàng chuyển thảm silicon đúng không em
Phụ kiện bên mình cũng ko bán nữa ạ,phụ kiện bên mình cũng không bán nữa ạ
Chào shop,chào shop
Trước mình có mua máy xây hấp BabyMoov của shop ý ạ,trước mình có mua máy xay hấp babymoov của shop ý ạ
/start_conversation,/stả_convẻation
shop cho mình hiện đang có sp xe đẩy nào,shop cho mình hiện đang có sản phẩm xe đẩy nào
"/confirm_attribute_value{""price"": ""5M - 10M""}",/confỉ_attribute_value price 5m - 10m
/start_conversation,/stả_convẻation
shop cho e hỏi gia xe vovo gấp gọn 1 chiều nha,shop cho em hỏi giá xe vovo gấp gọn 1 chiều nhà
"/confirm_object_type{""object_type"": ""xe_day""}",/confỉ_object_type object_type xe_day
mẫu này bn b ,mẫu này bao nhiêu bạn
"sn 16, ngõ 230, ngách 230/21/21 mễ trì thượng. 0986511899. 
Chị yến gửi cho zain.",sản 16 ngõ 230 ngách 230/21/21 mễ trì thượng 0986511899 chị yến gửi cho zain
Bạn ship giúp mình đến địa chỉ trên nhé,bạn ship giúp mình đến địa chỉ trên nhé
/start_conversation,/stả_convẻation
E ơi,em ơi
Tư vấn c xe đẩy cho bé giá dưới 1tr với,tư vấn chị xe đẩy cho bé giá dưới 1 triệu với
"bạn ơi
trc mh mua baby move ở nhà mh ý",bạn ơi trước mình mua baby move ở nhà mình ý
/start_conversation,/stả_convẻation
B ơi  mình mua cái này trên shopee,bạn ơi mình mua cái này trên shopee
/start_conversation,/stả_convẻation
Shop có sp máy hút sữa medela chương trình Km tốt nhắn giúp m nhé,shop có sản phẩm máy hút sữa medela chương trình khuyến mại tốt nhắn giúp mình nhé
Mình đang muốn mua bộ máy hút sữa của medela,mình đang muốn mua bộ máy hút sữa của medela
Nhưng k bit chọn bộ nào ngon bổ rẻ,nhưng không biết chọn bộ nào ngon bổ rẻ
Shop có thảm này k ạ ,shop có thảm này không ạ
"/query_knowledge_base{""url"": ""https://shopee.vn/product/36371562/2849771360"", ""product_id"": ""https://shopee.vn/product/36371562/2849771360""}",/quẻ_knơedge_bá ủ https //shopê vn/product/36371562/2849771360 product_id https //shopê vn/product/36371562/2849771360
/start_conversation,/stả_convẻation
C bán máy giặt mini hả,chị bán máy giặt mini hả
Máy đó giặt đồ người lớn được ko,máy đó giặt đồ người lớn được không
ukie cảm ơn shop nhé,uki cảm ơn shop nhé
"Năm ngoái mình mua của shop rồi
Năm nay mua cho cháu",năm ngoái mình mua của shop rồi nằm nay mua cho cháu
cái này bao nhiêu shop ,cái này bao nhiêu shop
"Shop ơi, trên mình có địu cho bé không? Và có những loại và giá như nào? Shop nhắn giúp mình nhé",shop ơi trên mình có địu cho bé không và có những loại và giá như nào shop nhận giúp mình nhé
"/confirm_attribute_value{""price"": ""NULL_1""}",/confỉ_attribute_value price null_1
"/confirm_attribute_value{""color"": ""Hồng""}",/confỉ_attribute_value colỏ hồng
báo giá giúp m bộ này,báo giá giúp mình bộ này
bàn này là loại khác hả b ,bạn này là loại khác hả bạn
/start_conversation,/stả_convẻation
shop còn ghế ăn dặm mastela hoạ tiết cáo nhỏ ko ạ ?,shop còn ghế ăn dặm mastela hoạ tiết cáo nhỏ không ạ
"/confirm_attribute_value{""price"": ""NULL_1""}",/confỉ_attribute_value price null_1
shop còn kệ này k ah ,shop còn kệ này không ạ
"/disagree{""object_type"": null}",/dígrê object_type null
đây mà b ,đây mà bạn
/start_conversation,/stả_convẻation
Ghế còn 450 ak c,ghế còn 450 à chị
Báo giá j vậy shop,báo giá gì vậy shop
Chứ sao báo giá 2990k,chứ sao báo giá 2990k
"ok bạn, vợ mình vừa mua đàn bên bạn rồi",ok bạn vợ mình vừa mua đàn bên bạn rồi
Xe này bnh thế c ,xe này bao nhiêu thế chị
"/query_knowledge_base{""url"": ""https://shopee.vn/XE-L%E1%BA%AEC-CAO-C%E1%BA%A4P-HOLLA-i.36371562.4033416922"", ""product_id"": ""https://shopee.vn/XE-L%E1%BA%AEC-CAO-C%E1%BA%A4P-HOLLA-i.36371562.4033416922""}",/quẻ_knơedge_bá ủ https //shopê vn/xe-l%e1%ba%aec-cao-c%e1%ba%a4p-holla-i 36371562 4033416922 product_id https //shopê vn/xe-l%e1%ba%aec-cao-c%e1%ba%a4p-holla-i 36371562 4033416922
Xe lắc k còn mẫu nào à c,xe lắc không còn mẫu nào à chị
Xe xanh ạ ,xe xanh ạ
Xe arolo này bn ạ ,xe ảlo này bao nhiêu ạ
Giá bn b oie ,giá bao nhiêu bạn oie
1c máy pha sữa hay máy tiệt trùng ạ?,1c máy pha sữa hay máy tiệt trùng ạ
"/confirm_attribute_value{""price"": ""1M - 2M""}",/confỉ_attribute_value price 1m - 2m
"/query_knowledge_base{""url"": ""https://shopee.vn/product/36371562/4520250642"", ""product_id"": ""https://shopee.vn/product/36371562/4520250642""}",/quẻ_knơedge_bá ủ https //shopê vn/product/36371562/4520250642 product_id https //shopê vn/product/36371562/4520250642
Shopee giá 880.000 thì mình mua bên nào b ơi,shopee giá 880 000 thì mình mua bên nào bạn ơi
Loại tiệu trùng FB4700KM ạ,loại tiệu trùng fb4700km ạ
b còn đồ chơi xúc cát k b ơi,bạn còn đồ chơi xúc cát không bạn ơi
"m có gửi hình ảnh đấy bạn
trước m mua của b 1 lần rồi
giờ m muốn mua thêm",mình có gửi hình ảnh đấy bạn trước mình mua của bạn 1 lần rồi giờ mình muốn mua thêm
/start_conversation,/stả_convẻation
"/query_knowledge_base{""object_type"": ""ghe_an"",""brand"": ""mastela""}",/quẻ_knơedge_bá object_type ghe_an brand mastela
/start_conversation,/stả_convẻation
"shop ơi, mình có mấy món đồ muôn thanh lý rẻ lại cho mẹ nào cần
shop up giúp mình đc ko ạ",shop ơi mình có mấy món đồ muôn thanh lý rẻ lại cho mẹ nào cần shop up giúp mình được không ạ
/start_conversation,/stả_convẻation
Bộ cầu trượt c nhed,bộ cầu trượt chị nhed
/start_conversation,/stả_convẻation
bạn có gối này ko ,bạn có gối này không
mình cần mua gối chống bẹp đầu,mình cần mua gối chống bẹp đầu
"https://www.facebook.com/shopgauvabingo/posts/1647517438891921/
cái này cơ mà bạn",https //www facebook com/shopgauvabingo/posts/1647517438891921/ cái này cơ mà bạn
kệ này bn ạ ,kệ này bao nhiêu ạ
ib giá giúp bộ này ,inbox giá giúp bộ này
"/disagree{""object_type"": null}",/dígrê object_type null
/connect_employee,/connect_employê
Nay nhieu sh ,hay nhiều shop
Bô bạc si b ,bộ bạc si bạn
Cho mình đặt mua bảng số nhé,cho mình đặt mua bảng số nhé
Bảng gỗ số,bằng gỗ số
Ghế ăn dặm có cho lên cao thấp đc ko ah,ghế ăn dặm có cho lên cao thấp được không ạ
Giao về 14/36 nguyễn thị duệ phường thanh bình tp hải dương ạ,giao về 14/36 nguyễn thị duệ phường thanh mình thành phố hải dương ạ
14 tháng e ơi,14 tháng em ơi
E muốn tìm ghế cho bé Loại tốt chút Loại này shop có ko ah ,em muốn tìm ghế cho bé loại tốt chút loại này shop có không ạ
/start_conversation,/stả_convẻation
Joie steadi,joie steadi
ghế ngồi oto Joie Steadi dark pewter,ghế ngồi oto joie steadi dark pewtẻ
ib nhé ,inbox nhé
có bảo hành ko b,có bảo hành không bạn
B ơi bộ này bao tiền ,bạn ơi bộ này bao tiền
mình ở SG nhỡ có chuyện gì với máy thì bảo hành sao b,mình ở sài gòn nhỡ có chuyển gì với máy thì bảo hành sao bạn
/start_conversation,/stả_convẻation
Alo xe V3 bao nhiêu shop ơi,alo xe v3 bao nhiêu shop ơi
"/confirm_object_type{""object_type"": ""xe_day""}",/confỉ_object_type object_type xe_day
Alo,alo
Ship máy tạo ẩm cho mình nhé,ship máy tạo ẩm cho mình nhé
Xe kiểu này V3 ,xe kiểu này v3
b shop có bán nôi ntn ko ,bạn shop có bán nôi như thế nào không
Bn b,bao nhiêu bạn
Con loai nao nua k b ,còn loại nào nua không bạn
Cai dan gita xai pịn hay ntn v shop,cái đàn gita xai pịn hay như thế nào vậy shop
/start_conversation,/stả_convẻation
Giá bn b,giá bao nhiêu bạn
"Bạn ơi
Bạn còn đàn guitar k",bạn ơi bạn còn đàn guitả không
"Mình hỏi cái đàn guitar
Mình gửi hình cho bạn r đấy
Với cái vo lăng điện từ
Bạn còn hàng k ak",mình hỏi cái đàn guitả mình gửi hình cho bạn rồi đấy với cái vô lăng điện từ bạn còn hàng không à
Để mình đặt trên shopee nha,để mình đặt trên shopee nha
/start_conversation,/stả_convẻation
Shop oi,shop ơi
Shop còn bán cho iwwaya k vậy,shop còn bán cho iwwaya không vậy
/start_conversation,/stả_convẻation
Chào shop,chào shop
Mình muốn hỏi mua bộ này,mình muốn hỏi mua bộ này
Bên shop còn máy pha sữa tiny baby ko,bên shop còn máy pha sữa tiny baby không
Máy pha sữa tiny baby formula,máy pha sữa tiny baby formula
Ý shop là gì,ý shop là gì
Ủa sao giảm nhìu vậy shop,ủa sao giảm nhìu vậy shop
Mình muốn đặt 2sp này ,mình muốn đặt 2sp này
hai sp trong ảnh đó bạn ơi,hai sản phẩm trong ảnh đó bạn ơi
mình check trên shopee nhưng tận thứ 3 mới nhận dc,mình check trên shopee nhưng tận thứ 3 mới nhận được
Còn ko shop ,còn không shop
Trước e có mua 1 noi nấu cháo chậm ơi shop nhưng nồi sứ bên trong bị nứt rồi shop có bán lẻ nồi sứ ko ạ,trước em có mua 1 nồi nấu cháo chậm ơi shop nhưng nồi sứ bên trong bị nứt rồi shop có bán lẻ nồi sứ không ạ
S có bộ bàn ghế ngồi học cho bé k ah,s có bộ bàn ghế ngồi học cho bé không ạ
M muốn tìm bộ bàn ghế cho bé tiểu học s ah,mình muốn tìm bộ bàn ghế cho bé tiểu học s ạ
/start_conversation,/stả_convẻation
"shop ơi
e đang tìm xe đẩy cho bé",shop ơi em đang tìm xe đẩy cho bé
mà e đang phân vân giữa các dòng quá ạh,mà em đang phân vân giữa các dòng quá ạh
Vâng ah. Vay sh thông cảm đe e kiem chỗ gần hơn.,vâng ạ vậy shop thông cảm đe em kiểm chỗ gần hơn
Em ơi,em ơi
C có bộ trượt liên hoàn năm ngoái mua bên em giờ muốn thanh lý,chị có bộ trượt liên hoàn năm ngoái mua bên em giờ muốn thanh lý
Mình có hỗ trợ đăng dk em,mình có hỗ trợ đăng được em
Chờ mình tl tin nhắn lâu quá,chờ mình trả lời tin nhắn lâu quá
"Vậy ạ
Dạ vâng em cảm ơn",vậy ạ dạ vâng em cảm ơn
/start_conversation,/stả_convẻation
Shop mình có địu bé ko ạ,shop mình có địu bé không ạ
"/confirm_attribute_value{""price"": ""100k - 500k""}",/confỉ_attribute_value price 100k - 500k
Shop còn ghế ăn dặm Aria care ko ạ,shop còn ghế ăn dặm ảa care không ạ
/start_conversation,/stả_convẻation
"Em ơi, bên em có xe đẩy mastella ko?",em ơi bên em có xe đẩy mastella không
Xe du lịch 1 chiều em ạ,xe du lịch 1 chiều em ạ
cái này có màu khác ko chị ,cái này có màu khác không chị
"/query_knowledge_base{""url"": ""https://shopee.vn/product/36371562/4520250642"", ""product_id"": ""https://shopee.vn/product/36371562/4520250642""}",/quẻ_knơedge_bá ủ https //shopê vn/product/36371562/4520250642 product_id https //shopê vn/product/36371562/4520250642
Bộ này bao tiền shop ơi ?,bộ này bao tiền shop ơi
/start_conversation,/stả_convẻation
"Mình muốn mua Set phụ kiện máy vắt sữa  medela. Nhờ shop báo giá, tư vấn",mình muốn mua set phụ kiện máy vắt sữa medela nhờ shop báo giá tủ vấn
"/confirm_attribute_value{""brand"": ""NULL_2""}",/confỉ_attribute_value brand null_2
/start_conversation,/stả_convẻation
Xe giá bn c,xe giá bao nhiêu chị
/start_conversation,/stả_convẻation
chào bạn ghế này bạn còn k có hàng sẵn k ạ ,chào bạn ghế này bạn còn không có hàng sẵn không ạ
có hàng sẵn ở cửa hàng k ạ?,có hàng sẵn ở cửa hàng không ạ
"Shop ui vậy để e check bên khác có màu xanh ko e báo lại nhé
Chứ e k thích màu đỏ ạ",shop ui vậy để em check bên khác có màu xanh không em báo lại nhé chứ em không thích màu đỏ ạ
Là sao hả c?,là sao hả chị
/start_conversation,/stả_convẻation
Aloo,aloo
Bên mìh còn bán máy hút sữa của medela k??,bên mình còn bán máy hút sữa của medela không
mình sang tận nơi mua bạn ạ,mình đang tận nơi mua bạn ạ
Bàn này giá bao nhiêu ạ,bạn này giá bao nhiêu ạ
Cả set này đó c ,cả set này đó chị
Địa chỉ shop mình ở đâu c nhỉ,địa chỉ shop mình ở đâu chị nhỉ
/start_conversation,/stả_convẻation
/start_conversation,/stả_convẻation
Em ơi có bình thuỷ điện chọn được nhiệt độ và dung tích nước k,em ơi có bình thuỷ điện chọn được nhiệt độ và dung tích nước không
Em ơi có bình thuỷ điện chọn được nhiệt độ và dung tích nước k,em ơi có bình thuỷ điện chọn được nhiệt độ và dung tích nước không
bộ dũa móng tay comfor baby còn không shop,bộ dũa móng tay comfor baby còn không shop
"comfy baby
dũa móng tay cho bé",comfy baby dũa móng tay cho bé
Cho e xin mẫu xe cân bằng bé 2t đi đc nhé,cho em xin mẫu xe cân bằng bé 2t đi được nhé
"/confirm_object_type{""object_type"": ""xe_can_bang""}",/confỉ_object_type object_type xe_can_bang
Thanks shop,thanks shop
Có bàn ghế k ạ,có bàn ghế không ạ
Đây ạ ,đây ạ
"/disagree{""object_type"": null}",/dígrê object_type null
Bộ mình gửi anh đó ạ,bộ mình gửi ảnh đó ạ
/start_conversation,/stả_convẻation
Mình muốn mua ghế ăn dặm,mình muốn mua ghế ăn dặm
"/confirm_attribute_value{""price"": ""500k - 1M""}",/confỉ_attribute_value price 500k - 1m
Mình không muốn mua ghế ngồi xe ô tô,mình không muốn mua ghế ngồi xe ô tô
/start_conversation,/stả_convẻation
ghế xe ô tô giá dưới 5 tr,ghế xe ô tô giá dưới 5 triệu
"Bên shop ban
Còn ghế ô tô
Cho em bé k
Loai jolie ý",bên shop bạn còn ghế ô tô cho em bé không loại jolie ý
"/confirm_attribute_value{""brand"": ""joie""}",/confỉ_attribute_value brand joie
"Ghế nay dung dc cho êm be
Tu mây tuôi
B",ghế này dùng được cho em bé từ mấy tuổi bạn
/start_conversation,/stả_convẻation
"A đoc rôi
Thây ghi dung cho bé đên 3 tuôi",a đoc rôi thây ghi đúng chỗ bé đến 3 tuổi
Cho mình hỏi shop có bộ này ko ạ Bn tiền ạ shop ,cho mình hỏi shop có bộ này không ạ bao nhiêu tiền ạ shop
Máy này của hãng nào vậy bạn?,máy này của hãng nào vậy bạn
Mình Ck xong địu em bé nha ,mình chuyển khoản xong địu em bé nhà
/start_conversation,/stả_convẻation
Tủ nhựa kub,tủ nhựa kub
"Chị xem trên Shopee có 1599k
Cũng của shop em",chị xem trên shopee có 1599k cũng của shop em
/start_conversation,/stả_convẻation
Mh có xe tập đi hok bn,mình có xe tập đi không bao nhiêu
"/confirm_attribute_value{""price"": ""100k - 500k""}",/confỉ_attribute_value price 100k - 500k
/start_conversation,/stả_convẻation
Alo,alo
Bên shop có xe nay ko ,bên shop có xe này không
/start_conversation,/stả_convẻation
Xem giúp e mẫu này còn ko ạ? ,xem giúp em mẫu này còn không ạ
Mình hỏi mua mẫu này ,mình hỏi mua mẫu này
"Bạn ơi
Nhà mình có bộ xúc cát cho bé ko bạn",bạn ơi nhà mình có bộ xúc cát cho bé không bạn
Bộ đồ chơi xúc cát ý bạn,bộ đồ chơi xúc cát ý bạn
/start_conversation,/stả_convẻation
E xin giá ,em xin giá
/start_conversation,/stả_convẻation
kệ chữ A của winfun còn kg,kệ chữ a của winfun còn kg
/start_conversation,/stả_convẻation
/start_conversation,/stả_convẻation
Hi shop,hi shop
Bên mình còn gấu bông iwava ô,bên mình còn gấu bông iwaya ô
mình thấy trên Tiki còn sp này fai kg shop,mình thấy trên tiki còn sản phẩm này phải kg shop
Thế trong khoảng giá này loại nào có kích thước rộng rãi cho bé nằm ko ah,ghế trắng khoảng giá này loại nào có kích thước rộng rãi cho bé nằm không ạ
Mình cần hỏi về xe đẩy trong khoảng 2-3 tr,mình cần hỏi về xe đẩy trong khoảng 2-3 triệu
/start_conversation,/stả_convẻation
"bên mình có Bình sữa Lansinoh 160ml không ạ
giá bao nhiêu ạ?",bên mình có bình sữa lansinoh 160ml không ạ giá bao nhiêu ạ
"/confirm_attribute_value{""brand"": ""NULL_2""}",/confỉ_attribute_value brand null_2
Mình muốn mua ghế này ,mình muốn mua ghế này
Mình ck và bên bạn có thể hỗ trợ giao hàng ra bến xe giúp mình dk ạ,mình chuyển khoản và bên bạn có thể hỗ trợ giao hàng ra bến xe giúp mình được ạ
Mình gửi nhà xe vào,mình gửi nhà xe vào
Okie mình cảm ơn!,okie mình cảm ơn
/restart,/réả
Bên shop còn máy pha sữa tiny baby ko,bên shop còn máy pha sữa tiny baby không
/start_conversation,/stả_convẻation
cho e hỏi ngựa này gia ssao ạ ,cho em hỏi ngựa này giá sao ạ
Shop ơi bên m có sẵn ghế joie stages này k ah ,shop ơi bên mình có sẵn ghế joie stages này không ạ
Màu mình gửi còn k b ơi,màu mình gửi còn không bạn ơi
/start_conversation,/stả_convẻation
Bạnoi,bạnoi
Bạn oi cho minh hoi bên bạn bán câu tuột,bạn ơi cho mình hỏi bên bạn bán cầu tuột
Có mẩu cho minh coi voi ,có mẩu cho mình coi với
T lấy 1 bộ này nhé,tớ lấy 1 bộ này nhé
Ship t đc này nhé khu xí nghiệp ép dầu xã tam hợp huyện bình xuyên tỉnh Vĩnh phúc 0985341344,ship tớ được này nhé khu xí nghiệp ép dầu xã tam hợp huyện bình xuyên tỉnh vĩnh phúc 0985341344
Cho mình giá của thanh chắn cầu thang nghen shop,cho mình giá của thanh chắn cầu thang nghen shop
"Và giá tông đơ doux
Giá ntn ạ",và giá tổng đơ doux giá như thế nào ạ
Shop ơi còn 2sp này ko ạ ,shop ơi còn 2sp này không ạ
"Ship giúp m 1 thỏ ú oà vs bộ số và chữ cái này đến vincom Nguyễn Chí Thanh trước 4h được ko ah
0916795217 ạ",ship giúp mình 1 thỏ ú oà với bộ số và chữ cái này đến vincom nguyễn chí thanh trước 4h được không ạ 0916795217 ạ
/start_conversation,/stả_convẻation
Này còn ko shop ah Giá sao vậy ah ,này còn không shop ạ giá sao vậy ạ
Mấy màu vậy ah,mấy màu vậy ạ
/start_conversation,/stả_convẻation
Hi shop,hi shop
sh có bán rời phần bình xay của babymoov ko?,shop có bán rời phần bánh xay của babymoov không
bàn kích cỡ thế nào bạn,bạn xích cỡ thế nào bạn
bộ bàn ghế đa năng lego holla,bộ bàn ghế đa năng lego holla
hoặc lego umoo,hoặc lego umoo
phí ship thế nào ạ mình ở nha trang ,phí ship thế nào ạ mình ở nhà trang
"Bạn ơi
Bộ bàn lego còn ko bạn
giá bao nhiêu ạ?",bạn ơi bộ bàn lego còn không bạn giá bao nhiêu ạ
"/confirm_object_type{""object_type"": ""bo_ban_ghe""}",/confỉ_object_type object_type bo_ban_ghe
"/confirm_attribute_value{""brand"": ""NULL_2""}",/confỉ_attribute_value brand null_2
/greet,/grê
/start_conversation,/stả_convẻation
Giá bao nhiu shop,giá bao bao nhiêu shop
"/query_knowledge_base{""url"": ""https://shopee.vn/product/36371562/5316521835"", ""product_id"": ""https://shopee.vn/product/36371562/5316521835""}",/quẻ_knơedge_bá ủ https //shopê vn/product/36371562/5316521835 product_id https //shopê vn/product/36371562/5316521835
"Shop ơi, trên mình có địu cho bé không? Và có những loại và giá như nào? Shop nhắn giúp mình nhé",shop ơi trên mình có địu cho bé không và có những loại và giá như nào shop nhận giúp mình nhé
"/confirm_attribute_value{""price"": ""NULL_1""}",/confỉ_attribute_value price null_1
"/confirm_attribute_value{""color"": ""Hồng""}",/confỉ_attribute_value colỏ hồng
Shop oi con xe day nay ko? ,shop ơi còn xe đẩy này không
Minh muon lay 1 xe,mình muốn lấy 1 xe
Minh o dalat,mình ở dalat
"Mình đặt qua link shopee nhé
Cho mình xin link vs ạ",mình đặt qua link shopee nhé cho mình xin link với ạ
Shop mình ở đâu ah,shop mình ở đâu ạ
/start_conversation,/stả_convẻation
"/query_knowledge_base{""object_type"": ""noi""}",/quẻ_knơedge_bá object_type noi
Vô lăng bn vậy shop,vô lăng bao nhiêu vậy shop
"/disagree{""object_type"": null}",/dígrê object_type null
Ok b,ok bạn
Bạn ơi máy tạo ẩm này mình bảo hành công ty bình thường đúng ko ạ,bạn ơi máy tạo ẩm này mình bảo hành cứng ty mình giường đúng không ạ
có,có
/start_conversation,/stả_convẻation
bàn ,bàn
không phải,không phải
Ib mình giá bộ này vs ạ ,inbox mình giá bộ này với ạ
Cho mình bộ nhỏ nhé,cho mình bộ nhỏ nhé
Đây ạ ,đây ạ
